,0
0,0.0
1,0.32863998
2,1.0
3,0.9683672
4,0.89405185
5,0.9070388
6,0.9223339
7,0.93480366
8,0.9469499
9,0.9590042
10,0.97083706
11,0.9824081
12,0.993696
13,1.0046775
14,1.0153317
15,1.0256394
16,1.0355848
17,1.0451546
18,1.0543385
19,1.0631286
20,1.0715206
21,1.0795125
22,1.0871049
23,1.0943012
24,1.1011064
25,1.107528
26,1.113575
27,1.1192582
28,1.1245898
29,1.1295823
30,1.1342497
31,1.138606
32,1.1426659
33,1.1464443
34,1.1499562
35,1.1532161
36,1.1562388
37,1.1590385
38,1.1616294
39,1.1640244
40,1.1662364
41,1.168278
42,1.1701608
43,1.171896
44,1.1734941
45,1.1749649
46,1.1763182
47,1.1775625
48,1.1787062
49,1.1797569
50,1.1807218
51,1.1816076
52,1.1824205
53,1.1831661
54,1.18385
55,1.1844772
56,1.1850522
57,1.1855793
58,1.1860621
59,1.1865044
60,1.1869097
61,1.1872809
62,1.1876208
63,1.187932
64,1.1882169
65,1.1884778
66,1.1887164
67,1.1889349
68,1.1891348
69,1.1893177
70,1.1894853
71,1.1896385
72,1.1897788
73,1.1899071
74,1.1900244
75,1.1901318
76,1.1902299
77,1.1903195
78,1.1904018
79,1.1904769
80,1.1905458
81,1.1906086
82,1.1906662
83,1.1907189
84,1.1907668
85,1.1908107
86,1.1908509
87,1.1908877
88,1.1909214
89,1.1909523
90,1.1909804
91,1.1910062
92,1.1910298
93,1.1910512
94,1.1910709
95,1.1910889
96,1.1911054
97,1.1911204
98,1.1911342
99,1.1911469
100,1.1911583
101,1.1911688
102,1.1911786
103,1.1911874
104,1.1911952
105,1.1912025
106,1.1912093
107,1.1912153
108,1.1912208
109,1.191226
110,1.1912308
111,1.1912351
112,1.1912391
113,1.1912427
114,1.191246
115,1.191249
116,1.1912518
117,1.1912544
118,1.1912568
119,1.1912587
120,1.1912606
121,1.1912625
122,1.1912642
123,1.1912656
124,1.1912669
125,1.1912681
126,1.1912692
127,1.1912702
128,1.1912712
129,1.191272
130,1.1912729
131,1.1912736
132,1.1912742
133,1.1912746
134,1.1912751
