date,open,high,low,close
2020-12-28 00:00:00,26281,26976,26101,26877
2020-12-28 01:00:00,26877,27356,26800,27062
2020-12-28 02:00:00,27060,27169,26910,27085
2020-12-28 03:00:00,27082,27290,26918,27275
2020-12-28 04:00:00,27275,27332,26848,26864
2020-12-28 05:00:00,26864,27153,26798,26942
2020-12-28 06:00:00,26942,27100,26830,27057
2020-12-28 07:00:00,27056,27200,27001,27001
2020-12-28 08:00:00,27001,27080,26705,26937
2020-12-28 09:00:00,26936,27000,26750,26835
2020-12-28 10:00:00,26835,26922,26557,26720
2020-12-28 11:00:00,26720,26889,26609,26859
2020-12-28 12:00:00,26859,27145,26711,27097
2020-12-28 13:00:00,27097,27500,27097,27249
2020-12-28 14:00:00,27249,27355,27130,27276
2020-12-28 15:00:00,27276,27320,26830,26916
2020-12-28 16:00:00,26916,27157,26743,27066
2020-12-28 17:00:00,27066,27236,27021,27140
2020-12-28 18:00:00,27140,27228,26898,27023
2020-12-28 19:00:00,27022,27196,26945,26996
2020-12-28 20:00:00,26996,27098,26678,26866
2020-12-28 21:00:00,26866,26958,26620,26627
2020-12-28 22:00:00,26627,26940,26415,26891
2020-12-28 23:00:00,26891,27163,26836,27079
2020-12-29 00:00:00,27079,27116,26758,26811
2020-12-29 01:00:00,26811,26857,26636,26830
2020-12-29 02:00:00,26829,26949,26727,26858
2020-12-29 03:00:00,26858,26863,26433,26444
2020-12-29 04:00:00,26445,26583,26203,26487
2020-12-29 05:00:00,26489,26492,25880,26452
2020-12-29 06:00:00,26452,26533,26264,26356
2020-12-29 07:00:00,26356,26462,26145,26435
2020-12-29 08:00:00,26436,26765,26434,26660
2020-12-29 09:00:00,26660,26745,26521,26590
2020-12-29 10:00:00,26586,26860,26586,26741
2020-12-29 11:00:00,26741,26900,26565,26876
2020-12-29 12:00:00,26874,27100,26858,26893
2020-12-29 13:00:00,26893,26977,26730,26880
2020-12-29 14:00:00,26880,26902,26600,26664
2020-12-29 15:00:00,26664,26734,26433,26614
2020-12-29 16:00:00,26615,26625,26204,26430
2020-12-29 17:00:00,26428,26628,26243,26621
2020-12-29 18:00:00,26621,26749,26565,26591
2020-12-29 19:00:00,26591,26943,26505,26931
2020-12-29 20:00:00,26931,27000,26743,26989
2020-12-29 21:00:00,26990,27200,26820,26913
2020-12-29 22:00:00,26911,27117,26893,27048
2020-12-29 23:00:00,27048,27410,26945,27385
2020-12-30 00:00:00,27385,27837,27374,27630
2020-12-30 01:00:00,27630,27720,27530,27615
2020-12-30 02:00:00,27615,28000,27498,27999
2020-12-30 03:00:00,28000,28239,27814,28065
2020-12-30 04:00:00,28066,28205,27722,27897
2020-12-30 05:00:00,27897,28159,27828,28016
2020-12-30 06:00:00,28016,28577,27933,28380
2020-12-30 07:00:00,28379,28598,28270,28386
2020-12-30 08:00:00,28389,28579,27559,27732
2020-12-30 09:00:00,27732,27898,27320,27855
2020-12-30 10:00:00,27855,28063,27742,27850
2020-12-30 11:00:00,27850,27947,27595,27838
2020-12-30 12:00:00,27836,27934,27577,27858
2020-12-30 13:00:00,27858,28167,27768,27869
2020-12-30 14:00:00,27871,28184,27871,28182
2020-12-30 15:00:00,28182,28291,27984,28153
2020-12-30 16:00:00,28153,28240,27887,28153
2020-12-30 17:00:00,28153,28309,28050,28239
2020-12-30 18:00:00,28239,28530,28239,28510
2020-12-30 19:00:00,28510,28900,28444,28776
2020-12-30 20:00:00,28776,28996,28603,28785
2020-12-30 21:00:00,28785,28980,28534,28875
2020-12-30 22:00:00,28875,28903,28571,28703
2020-12-30 23:00:00,28704,28911,28630,28875
2020-12-31 00:00:00,28875,29300,28869,29120
2020-12-31 01:00:00,29120,29177,28120,28743
2020-12-31 02:00:00,28743,28792,28600,28720
2020-12-31 03:00:00,28720,29147,28711,29024
2020-12-31 04:00:00,29024,29185,28824,29028
2020-12-31 05:00:00,29028,29031,28738,28972
2020-12-31 06:00:00,28972,29074,28849,28859
2020-12-31 07:00:00,28859,29285,28859,29155
2020-12-31 08:00:00,29155,29210,28780,28926
2020-12-31 09:00:00,28926,29067,28580,28989
2020-12-31 10:00:00,28989,29168,28960,29136
2020-12-31 11:00:00,29136,29140,28888,28910
2020-12-31 12:00:00,28910,28989,28400,28617
2020-12-31 13:00:00,28617,28635,27850,28519
2020-12-31 14:00:00,28519,28523,28111,28371
2020-12-31 15:00:00,28371,28840,28369,28770
2020-12-31 16:00:00,28782,28822,28311,28380
2020-12-31 17:00:00,28382,28723,28362,28571
2020-12-31 18:00:00,28571,28898,28424,28872
2020-12-31 19:00:00,28872,29000,28742,28897
2020-12-31 20:00:00,28897,29139,28862,29126
2020-12-31 21:00:00,29126,29169,28900,28966
2020-12-31 22:00:00,28966,29143,28910,29100
2020-12-31 23:00:00,29100,29110,28780,28923
