2021-08-12A16:00:00;45,349;45,345;44,752;44,602;44,456;44,196;43,999
2021-08-12A17:00:00;45,345;44,752;44,602;44,456;44,137;43,999;44,12
2021-08-12A18:00:00;44,752;44,602;44,456;44,137;44,196;44,12;44,423
2021-08-12A19:00:00;44,602;44,456;44,137;44,196;43,999;44,423;44,371
2021-08-12A20:00:00;44,456;44,137;44,196;43,999;44,12;44,371;44,474
2021-08-12A21:00:00;44,137;44,196;43,999;44,12;44,423;44,474;44,242
2021-08-12A22:00:00;44,196;43,999;44,12;44,423;44,371;44,242;43,954
2021-08-12A23:00:00;43,999;44,12;44,423;44,371;44,474;43,954;44,399
2021-08-13A00:00:00;44,12;44,423;44,371;44,474;44,242;44,399;44,493
2021-08-13A01:00:00;44,423;44,371;44,474;44,242;43,954;44,493;44,847
2021-08-13A06:00:00;44,371;44,474;44,242;43,954;44,399;44,847;45,833
2021-08-13A07:00:00;44,474;44,242;43,954;44,399;44,493;45,833;46,103
2021-08-13A08:00:00;44,242;43,954;44,399;44,493;44,847;46,103;46,161
2021-08-13A09:00:00;43,954;44,399;44,493;44,847;45,833;46,161;46,216
2021-08-13A10:00:00;44,399;44,493;44,847;45,833;46,103;46,216;46,293
2021-08-13A11:00:00;44,493;44,847;45,833;46,103;46,161;46,293;46,138
2021-08-13A12:00:00;44,847;45,833;46,103;46,161;46,216;46,138;46,524
2021-08-13A13:00:00;45,833;46,103;46,161;46,216;46,293;46,524;46,529
2021-08-13A14:00:00;46,103;46,161;46,216;46,293;46,138;46,529;46,432
2021-08-13A15:00:00;46,161;46,216;46,293;46,138;46,524;46,432;46,357
2021-08-13A16:00:00;46,216;46,293;46,138;46,524;46,529;46,357;46,533
2021-08-13A17:00:00;46,293;46,138;46,524;46,529;46,432;46,533;46,49
2021-08-13A18:00:00;46,138;46,524;46,529;46,432;46,357;46,49;46,51
2021-08-13A19:00:00;46,524;46,529;46,432;46,357;46,533;46,51;46,459
2021-08-13A20:00:00;46,529;46,432;46,357;46,533;46,49;46,459;47,588
2021-08-13A21:00:00;46,432;46,357;46,533;46,49;46,51;47,588;47,556
2021-08-13A22:00:00;46,357;46,533;46,49;46,51;46,459;47,556;47,549
2021-08-13A23:00:00;46,533;46,49;46,51;46,459;47,588;47,549;47,8
2021-08-14A00:00:00;46,49;46,51;46,459;47,588;47,556;47,8;47,631
2021-08-14A01:00:00;46,51;46,459;47,588;47,556;47,549;47,631;47,557
2021-08-14A02:00:00;46,459;47,588;47,556;47,549;47,8;47,557;47,54
2021-08-14A03:00:00;47,588;47,556;47,549;47,8;47,631;47,54;47,54
2021-08-14A04:00:00;47,556;47,549;47,8;47,631;47,557;47,54;47,456
