date,close,TT
2017-08-17 05:00:00,4315,6
2017-08-17 06:00:00,4324,9
2017-08-17 07:00:00,4350,26
2017-08-17 08:00:00,4361,11
2017-08-17 09:00:00,4444,83
2017-08-17 10:00:00,4460,16
2017-08-17 11:00:00,4427,-33
2017-08-17 12:00:00,4411,-16
2017-08-17 13:00:00,4459,48
2017-08-17 14:00:00,4471,12
2017-08-17 15:00:00,4352,-118
2017-08-17 16:00:00,4354,2
2017-08-17 17:00:00,4354,0
2017-08-17 18:00:00,4257,-32
2017-08-17 19:00:00,4325,68
2017-08-17 20:00:00,4325,0
2017-08-17 21:00:00,4334,-13
2017-08-17 22:00:00,4337,3
2017-08-17 23:00:00,4285,-52
2017-08-18 00:00:00,4287,1
2017-08-18 01:00:00,4244,-43
2017-08-18 02:00:00,4268,24
2017-08-18 03:00:00,4292,25
2017-08-18 04:00:00,4288,-4
2017-08-18 05:00:00,4314,26
2017-08-18 06:00:00,4279,-34
2017-08-18 07:00:00,4300,21
2017-08-18 08:00:00,4283,-18
2017-08-18 09:00:00,4304,21
2017-08-18 10:00:00,4356,52
2017-08-18 11:00:00,4340,-16
2017-08-18 12:00:00,4337,-4
2017-08-18 13:00:00,4262,-70
2017-08-18 14:00:00,4259,-34
2017-08-18 15:00:00,4237,-23
2017-08-18 16:00:00,4250,13
2017-08-18 17:00:00,4193,-57
2017-08-18 18:00:00,4117,-76
2017-08-18 19:00:00,4136,19
2017-08-18 20:00:00,4021,-115
2017-08-18 21:00:00,3976,-45
2017-08-18 22:00:00,4114,138
2017-08-18 23:00:00,4108,-5
2017-08-19 00:00:00,4163,55
2017-08-19 01:00:00,4149,-15
2017-08-19 02:00:00,4156,8
2017-08-19 03:00:00,4139,-18
2017-08-19 04:00:00,4068,-70
2017-08-19 05:00:00,4077,9
2017-08-19 06:00:00,3987,-90
2017-08-19 07:00:00,4033,47
2017-08-19 08:00:00,3999,-34
2017-08-19 09:00:00,4068,69
2017-08-19 10:00:00,4001,-68
2017-08-19 11:00:00,3958,-43
2017-08-19 12:00:00,4095,137
2017-08-19 13:00:00,4040,-55
2017-08-19 14:00:00,4042,3
2017-08-19 15:00:00,3972,-70
2017-08-19 16:00:00,4000,28
2017-08-19 17:00:00,4027,27
2017-08-19 18:00:00,4086,59
2017-08-19 19:00:00,4076,-10
2017-08-19 20:00:00,4076,0
2017-08-19 21:00:00,4074,-2
2017-08-19 22:00:00,4140,66
2017-08-19 23:00:00,4140,0
2017-08-20 00:00:00,4086,-54
2017-08-20 01:00:00,4083,-4
2017-08-20 02:00:00,4125,42
2017-08-20 03:00:00,4095,-30
2017-08-20 04:00:00,4093,-2
2017-08-20 05:00:00,4117,24
2017-08-20 06:00:00,4115,-2
2017-08-20 07:00:00,4156,40
2017-08-20 08:00:00,4185,29
2017-08-20 09:00:00,4155,-30
2017-08-20 10:00:00,4142,-13
2017-08-20 11:00:00,4107,-36
2017-08-20 12:00:00,4108,2
2017-08-20 13:00:00,4063,-45
2017-08-20 14:00:00,4096,33
2017-08-20 15:00:00,4125,29
2017-08-20 16:00:00,4131,6
2017-08-20 17:00:00,4129,-2
2017-08-20 18:00:00,4155,26
2017-08-20 19:00:00,4165,10
2017-08-20 20:00:00,4141,-24
2017-08-20 21:00:00,4150,9
2017-08-20 22:00:00,4170,20
2017-08-20 23:00:00,4086,-84
2017-08-21 00:00:00,4108,22
2017-08-21 01:00:00,4095,-14
2017-08-21 02:00:00,4080,-15
2017-08-21 03:00:00,4085,5
2017-08-21 04:00:00,4105,20
2017-08-21 05:00:00,4017,-88
2017-08-21 06:00:00,3983,-34
2017-08-21 07:00:00,4044,61
2017-08-21 08:00:00,4036,-7
2017-08-21 09:00:00,4074,38
2017-08-21 10:00:00,4088,14
2017-08-21 11:00:00,4023,-65
2017-08-21 12:00:00,4000,-23
2017-08-21 13:00:00,3951,-49
2017-08-21 14:00:00,3989,38
2017-08-21 15:00:00,4022,33
2017-08-21 16:00:00,4029,7
2017-08-21 17:00:00,4016,-13
2017-08-21 18:00:00,3919,-97
2017-08-21 19:00:00,4027,108
2017-08-21 20:00:00,4025,-2
2017-08-21 21:00:00,4039,14
