date,open,high,low,close
2017-08-17 04:00:00,16199.91,16199.91,4261.32,4308.83
2017-08-17 05:00:00,4308.83,4328.69,4291.37,4315.32
2017-08-17 06:00:00,4315.32,4345.45,4309.37,4324.35
2017-08-17 07:00:00,4324.35,4349.99,4287.41,4349.99
2017-08-17 08:00:00,4349.99,4377.85,4333.32,4360.69
2017-08-17 09:00:00,4360.69,4445.78,4360,4444
2017-08-17 10:00:00,4444,4470,4399.81,4460
2017-08-17 11:00:00,4460,4485.39,4427.3,4427.3
2017-08-17 12:00:00,4427.3,4449.56,4411,4411
2017-08-17 13:00:00,4411,4459,4411,4459
2017-08-17 14:00:00,4459,4485.39,4435.93,4470.82
2017-08-17 15:00:00,4470.82,4470.82,4333.42,4352.34
2017-08-17 16:00:00,4352.34,4354.35,4255.3,4354.18
2017-08-17 17:00:00,4354.18,4354.84,4235.45,4354.18
2017-08-17 18:00:00,4289.24,4302.45,4218.68,4256.97
2017-08-17 19:00:00,4256.97,4335.3,4200.74,4325.23
2017-08-17 20:00:00,4325.23,4354.84,4258.56,4325.23
2017-08-17 21:00:00,4346.74,4369.69,4309.23,4333.55
2017-08-17 22:00:00,4333.55,4359.13,4310,4336.8
2017-08-17 23:00:00,4336.8,4337.38,4280.82,4285.08
2017-08-18 00:00:00,4285.08,4340.62,4228.76,4286.53
2017-08-18 01:00:00,4286.53,4286.53,4134.61,4243.59
2017-08-18 02:00:00,4243.59,4298.64,4234,4267.59
2017-08-18 03:00:00,4267.59,4308.7,4234,4292.39
2017-08-18 04:00:00,4292.39,4292.39,4234.43,4287.92
2017-08-18 05:00:00,4287.92,4340.62,4250.04,4313.56
2017-08-18 06:00:00,4313.56,4316.98,4247.75,4279.46
2017-08-18 07:00:00,4279.46,4304.67,4270.48,4300.25
2017-08-18 08:00:00,4300.25,4320.71,4259.85,4282.73
2017-08-18 09:00:00,4282.73,4327.25,4265.33,4304.15
2017-08-18 10:00:00,4304.15,4371.52,4296.04,4356.31
2017-08-18 11:00:00,4356.31,4357.37,4302.72,4340.31
2017-08-18 12:00:00,4340.31,4340.31,4287.79,4336.52
2017-08-18 13:00:00,4331.71,4331.71,4221.05,4261.99
2017-08-18 14:00:00,4293.09,4293.09,4193.7,4259.4
2017-08-18 15:00:00,4259.4,4259.4,4200,4236.89
2017-08-18 16:00:00,4236.89,4283.79,4234.54,4250.34
2017-08-18 17:00:00,4250.34,4250.34,4066.53,4193.35
2017-08-18 18:00:00,4193.35,4297.75,4117.41,4117.41
