date,Op,Hi,Lo,Ad,Vo,OT
2014-09-17 00:00:00,465864014,468174011,452421997,457334015,21056800,457334015
2014-09-18 00:00:00,456859985,456859985,413104004,424440002,34483200,424440002
2014-09-19 00:00:00,424102997,427834991,384532013,394795990,37919700,394795990
2014-09-20 00:00:00,394673004,423295990,389882996,408903992,36863600,408903992
2014-09-21 00:00:00,408084991,412425995,393181000,398821014,26580100,398821014
2014-09-22 00:00:00,399100006,406915985,397130005,402152008,24127600,402152008
2014-09-23 00:00:00,402092010,441557007,396196991,435790985,45099500,435790985
2014-09-24 00:00:00,435751007,436112000,421131989,423204987,30627700,423204987
2014-09-25 00:00:00,423156006,423519989,409467987,411574005,26814400,411574005
2014-09-26 00:00:00,411428986,414937988,400009003,404424988,21460800,404424988
2014-09-27 00:00:00,403556000,406622986,397372009,399519989,15029300,399519989
2014-09-28 00:00:00,399471008,401016998,374332001,377181000,23613300,377181000
2014-09-29 00:00:00,376928009,385210999,372239990,375467010,32497700,375467010
2014-09-30 00:00:00,376088013,390976990,373442993,386944000,34707300,386944000
2014-10-01 00:00:00,387427002,391378998,380779999,383614990,26229400,383614990
2014-10-02 00:00:00,383988007,385497009,372946014,375071991,21777700,375071991
2014-10-03 00:00:00,375181000,377695007,357859009,359511993,30901200,359511993
2014-10-04 00:00:00,359891998,364487000,325885986,328865997,47236500,328865997
2014-10-05 00:00:00,328915985,341800995,289295990,320510010,83308096,320510010
2014-10-06 00:00:00,320389008,345134003,302559998,330079010,79011800,330079010
2014-10-07 00:00:00,330584015,339247009,320481995,336187012,49199900,336187012
2014-10-08 00:00:00,336115997,354364014,327187988,352940002,54736300,352940002
2014-10-09 00:00:00,352747986,382726013,347687012,365026001,83641104,365026001
2014-10-10 00:00:00,364687012,375066986,352963013,361562012,43665700,361562012
2014-10-11 00:00:00,361362000,367191010,355950989,362299011,13345200,362299011
2014-10-12 00:00:00,362605988,379433014,356144012,378549011,17552800,378549011
2014-10-13 00:00:00,377920990,397226013,368897003,390414001,35221400,390414001
2014-10-14 00:00:00,391691986,411697998,391324005,400869995,38491500,400869995
2014-10-15 00:00:00,400954987,402226990,388765991,394773010,25267100,394773010
2014-10-16 00:00:00,394518005,398807007,373070007,382556000,26990000,382556000
2014-10-17 00:00:00,382756012,385477997,375389008,383757996,13600700,383757996
2014-10-18 00:00:00,383976013,395157990,378971008,391441986,11416800,391441986
2014-10-19 00:00:00,391253998,393938995,386457001,389545990,5914570,389545990
2014-10-20 00:00:00,389230988,390084015,378252014,382845001,16419000,382845001
2014-10-21 00:00:00,382420990,392645996,380834015,386475006,14188900,386475006
2014-10-22 00:00:00,386118011,388575989,382248993,383157990,11641300,383157990
2014-10-23 00:00:00,382962006,385048004,356446991,358416992,26456900,358416992
2014-10-24 00:00:00,358591003,364345001,353304993,358345001,15585700,358345001
2014-10-25 00:00:00,358610992,359860992,342877014,347270996,18127500,347270996
2014-10-26 00:00:00,347487000,359221008,343931000,354704010,11272500,354704010
2014-10-27 00:00:00,354777008,358631989,349808990,352989014,13033000,352989014
2014-10-28 00:00:00,353214996,359984009,352678986,357618011,7845880,357618011
2014-10-29 00:00:00,357088989,357833008,335342987,335591003,18192700,335591003
2014-10-30 00:00:00,335709015,350912994,335071991,345304993,30177900,345304993
2014-10-31 00:00:00,345009003,348045013,337141998,338321014,12545400,338321014
2014-11-01 00:00:00,338649994,340528992,321054993,325748993,16677200,325748993
2014-11-02 00:00:00,326075012,329049988,320626007,325891998,8603620,325891998
2014-11-03 00:00:00,325569000,334002014,325480988,327553986,12948500,327553986
2014-11-04 00:00:00,327161011,331766998,325076996,330492004,15655500,330492004
2014-11-05 00:00:00,330683014,343368988,330683014,339485992,19817200,339485992
2014-11-06 00:00:00,339458008,352966003,338424011,349290009,18797000,349290009
2014-11-07 00:00:00,349817993,352731995,341776001,342415009,16834200,342415009
2014-11-08 00:00:00,342153992,347032013,342153992,345488007,8535470,345488007
2014-11-09 00:00:00,345376007,363626007,344255005,363264008,24205600,363264008
2014-11-10 00:00:00,362265015,374816010,357561005,366924011,30450100,366924011
2014-11-11 00:00:00,365856995,371309998,363734985,367695007,15838900,367695007
2014-11-12 00:00:00,367984985,429717987,367984985,423561005,45783200,423561005
2014-11-13 00:00:00,427273010,457092987,401122986,420734985,58945000,420734985
2014-11-14 00:00:00,418416992,419252014,384789001,397817993,29589200,397817993
2014-11-15 00:00:00,399649994,405528015,371007996,376132996,15727500,376132996
2014-11-16 00:00:00,374730011,390799011,374601990,387881989,11905600,387881989
2014-11-17 00:00:00,388348999,410199005,377502014,387407990,41518800,387407990
2014-11-18 00:00:00,387785004,392402008,371117004,375197998,32222500,375197998
2014-11-19 00:00:00,373895996,386480988,373895996,380554993,18931800,380554993
2014-11-20 00:00:00,380307007,382024994,356781006,357839996,25233200,357839996
2014-11-21 00:00:00,357878998,357878998,344112000,350847992,29850100,350847992
2014-11-22 00:00:00,351604004,364841003,350877991,352920013,15273000,352920013
2014-11-23 00:00:00,353174988,370845001,353174988,367572998,15151600,367572998
2014-11-24 00:00:00,366947998,387209015,366669006,376901001,30930100,376901001
2014-11-25 00:00:00,376885986,394700989,374783997,375347992,25442200,375347992
2014-11-26 00:00:00,376019012,377697998,365816010,368369995,18601700,368369995
2014-11-27 00:00:00,370502014,373992004,368282013,369670013,8748030,369670013
2014-11-28 00:00:00,369373993,382838013,358454987,376446991,22946500,376446991
2014-11-29 00:00:00,376152008,387601013,372144989,375490997,15375600,375490997
2014-11-30 00:00:00,375510010,382527008,373308990,378046997,9194440,378046997
2014-12-01 00:00:00,378248993,383661987,376669006,379244995,11763000,379244995
2014-12-02 00:00:00,379250000,384037994,377863007,381315002,12364100,381315002
2014-12-03 00:00:00,381721985,383026001,374346008,375010010,13340100,375010010
2014-12-04 00:00:00,375717987,378654999,367759003,369604004,14529600,369604004
2014-12-05 00:00:00,369441986,379191986,365756012,376854004,15181800,376854004
2014-12-06 00:00:00,376756989,378447998,370945007,374785004,7009320,374785004
2014-12-07 00:00:00,374835999,376291992,373274994,375095001,6491650,375095001
2014-12-08 00:00:00,374964996,376028992,361885986,361908997,18898700,361908997
2014-12-09 00:00:00,361894989,363066986,344950989,352218994,32915500,352218994
2014-12-10 00:00:00,352204987,352384003,346364990,346364990,16427700,346364990
2014-12-11 00:00:00,344339996,361356995,338763000,350506012,32431300,350506012
2014-12-12 00:00:00,350833008,352983002,349290985,352541992,16989800,352541992
2014-12-13 00:00:00,352381012,352381012,346588013,347376007,11675900,347376007
2014-12-14 00:00:00,346726990,353316010,345417999,351631989,12415200,351631989
2014-12-15 00:00:00,351360992,351815002,344933990,345345001,17264200,345345001
2014-12-16 00:00:00,345673004,345859009,327062012,327062012,30864900,327062012
2014-12-17 00:00:00,326855011,333954010,315152008,319776001,37567900,319776001
2014-12-18 00:00:00,319785004,323709015,304231995,311395996,39173000,311395996
2014-12-19 00:00:00,311178986,318532990,306769012,317842987,23823100,317842987
2014-12-20 00:00:00,317618988,330325012,316044006,329955994,20856700,329955994
